AH2011;Educação;Lazer;Negócios;Refeição;Saúde
17018;0.0;1.0;0.0;0.0;0.0
1702;43.0;4.0;3.0;91.0;6.0
1703;28.0;3.0;3.0;17.0;4.0
1704;52.0;16.0;10.0;76.0;5.0
1705;63.0;14.0;15.0;178.0;4.0
1706;48.0;12.0;13.0;133.0;3.0
1707;11.0;3.0;2.0;65.0;2.0
1708;61.0;14.0;6.0;186.0;0.0
1709;93.0;21.0;27.0;205.0;12.0
1710;35.0;5.0;7.0;60.0;0.0
17101;60.0;18.0;28.0;161.0;3.0
17102;58.0;17.0;17.0;195.0;6.0
17103;5.0;1.0;1.0;6.0;0.0
17104;6.0;0.0;0.0;11.0;0.0
17105;49.0;9.0;8.0;99.0;1.0
17106;153.0;31.0;44.0;278.0;17.0
17107;41.0;8.0;13.0;140.0;3.0
17108;16.0;8.0;6.0;104.0;1.0
17109;3.0;0.0;1.0;11.0;0.0
1711;39.0;7.0;2.0;91.0;2.0
17111;7.0;0.0;0.0;20.0;0.0
17112;6.0;1.0;3.0;32.0;3.0
17113;30.0;3.0;1.0;21.0;0.0
1712;55.0;10.0;14.0;188.0;6.0
1713;39.0;14.0;8.0;108.0;1.0
1714;129.0;22.0;53.0;448.0;91.0
1715;31.0;12.0;5.0;70.0;0.0
1716;62.0;13.0;14.0;151.0;1.0
1717;41.0;13.0;11.0;89.0;2.0
1718;70.0;10.0;11.0;116.0;1.0
1719;95.0;24.0;13.0;171.0;4.0
1720;86.0;17.0;20.0;171.0;8.0
17202;2.0;1.0;0.0;21.0;0.0
17203;3.0;0.0;0.0;3.0;0.0
1721;87.0;18.0;15.0;171.0;9.0
1722;35.0;17.0;8.0;31.0;3.0
1723;107.0;18.0;24.0;185.0;6.0
1724;134.0;26.0;29.0;172.0;8.0
1725;90.0;13.0;22.0;212.0;46.0
1726;79.0;10.0;9.0;101.0;11.0
1727;61.0;17.0;6.0;114.0;6.0
1728;74.0;5.0;9.0;79.0;6.0
1729;102.0;17.0;16.0;160.0;13.0
1730;110.0;20.0;27.0;112.0;5.0
17301;4.0;1.0;0.0;35.0;0.0
17303;2.0;1.0;1.0;1.0;0.0
17304;6.0;6.0;6.0;62.0;0.0
17305;7.0;4.0;0.0;36.0;0.0
1731;27.0;8.0;11.0;106.0;14.0
1732;1.0;2.0;0.0;10.0;0.0
1733;19.0;1.0;2.0;30.0;0.0
1734;3.0;0.0;0.0;13.0;1.0
1735;2.0;3.0;0.0;1.0;0.0
1736;26.0;11.0;4.0;70.0;4.0
1737;26.0;9.0;5.0;88.0;0.0
1738;2.0;0.0;0.0;5.0;0.0
1740;44.0;16.0;1.0;61.0;1.0
1741;59.0;12.0;16.0;125.0;13.0
18001;12.0;4.0;10.0;54.0;5.0
18002;26.0;9.0;6.0;60.0;5.0
18003;2.0;3.0;0.0;20.0;0.0
