,AH2011,Educação,Lazer,Negócios,Refeição,Saúde
992,32101,3.0,0.0,0.0,12.0,1.0
993,33001,5.0,0.0,8.0,6.0,1.0
994,33002,4.0,2.0,0.0,2.0,0.0
995,33009,0.0,0.0,0.0,3.0,0.0
996,3301,1.0,0.0,1.0,25.0,0.0
997,3305,0.0,2.0,0.0,3.0,1.0
998,3307,12.0,4.0,10.0,55.0,2.0
999,3308,1.0,0.0,0.0,4.0,0.0
1000,3401,1.0,0.0,0.0,12.0,0.0
1001,3402,2.0,0.0,0.0,18.0,0.0
1002,3403,1.0,0.0,0.0,4.0,0.0
1003,3501,0.0,0.0,0.0,2.0,0.0
1004,4001,22.0,7.0,16.0,55.0,15.0
1005,4002,7.0,7.0,5.0,77.0,2.0
1006,4003,15.0,7.0,5.0,27.0,2.0
1007,4004,20.0,8.0,5.0,51.0,3.0
1008,4005,50.0,8.0,19.0,138.0,9.0
1009,4006,25.0,5.0,13.0,106.0,8.0
1010,4007,19.0,20.0,19.0,71.0,7.0
1011,4008,0.0,0.0,0.0,6.0,0.0
1012,4009,1.0,0.0,0.0,1.0,0.0
1013,4010,0.0,0.0,0.0,1.0,0.0
1014,4011,1.0,4.0,0.0,7.0,0.0
1015,4013,5.0,2.0,5.0,35.0,3.0
1016,4101,1.0,1.0,0.0,11.0,1.0
1017,4102,0.0,0.0,0.0,1.0,0.0
1018,4203,0.0,0.0,0.0,3.0,0.0
1019,4301,0.0,0.0,0.0,5.0,0.0
1020,4401,0.0,4.0,1.0,12.0,0.0
1021,4403,1.0,2.0,1.0,3.0,0.0
1022,5001,43.0,14.0,29.0,127.0,10.0
1023,5002,66.0,5.0,18.0,94.0,4.0
1024,5003,68.0,11.0,11.0,81.0,7.0
1025,5004,54.0,11.0,10.0,87.0,7.0
1026,5005,38.0,11.0,10.0,80.0,4.0
1027,5006,81.0,9.0,20.0,146.0,8.0
1028,5007,21.0,1.0,5.0,66.0,0.0
1029,5008,95.0,15.0,3.0,120.0,3.0
1030,5009,65.0,9.0,16.0,119.0,3.0
1031,5010,216.0,28.0,30.0,282.0,16.0
1032,5011,157.0,30.0,26.0,253.0,24.0
1033,5012,15.0,1.0,4.0,29.0,0.0
1034,5013,20.0,4.0,2.0,91.0,0.0
1035,5014,36.0,6.0,2.0,53.0,2.0
1036,5015,9.0,5.0,6.0,33.0,0.0
1037,5016,61.0,10.0,8.0,129.0,3.0
1038,5017,69.0,14.0,10.0,179.0,14.0
1039,5018,69.0,6.0,10.0,147.0,13.0
1040,5019,15.0,3.0,3.0,49.0,0.0
1041,5020,143.0,19.0,60.0,480.0,93.0
1042,5021,46.0,3.0,11.0,68.0,4.0
1043,5022,62.0,9.0,25.0,149.0,10.0
1044,5023,166.0,30.0,41.0,398.0,34.0
1045,5024,2.0,11.0,22.0,85.0,1.0
1046,5025,33.0,14.0,33.0,204.0,13.0
1047,5026,19.0,8.0,10.0,95.0,2.0
1048,5027,47.0,5.0,15.0,112.0,3.0
1049,5028,71.0,13.0,18.0,293.0,14.0
1050,5029,63.0,13.0,9.0,126.0,6.0
1051,5030,55.0,17.0,19.0,189.0,2.0
1052,5031,68.0,13.0,17.0,165.0,10.0
1053,5032,37.0,10.0,11.0,138.0,11.0
1054,5033,41.0,8.0,9.0,111.0,0.0
1055,5034,38.0,7.0,7.0,62.0,1.0
1056,5035,91.0,24.0,15.0,233.0,9.0
1057,5036,37.0,6.0,7.0,77.0,2.0
1058,5037,126.0,30.0,35.0,293.0,17.0
1059,5038,121.0,23.0,17.0,125.0,9.0
1060,5039,12.0,4.0,8.0,74.0,2.0
1061,5040,148.0,26.0,13.0,224.0,7.0
1062,5041,11.0,1.0,0.0,39.0,4.0
1063,5043,99.0,8.0,15.0,238.0,15.0
1064,5044,1.0,1.0,0.0,0.0,0.0
1065,5045,1.0,0.0,0.0,3.0,0.0
1066,5046,25.0,6.0,11.0,51.0,0.0
1067,5047,3.0,1.0,0.0,10.0,0.0
1068,5048,0.0,0.0,0.0,10.0,2.0
1069,5049,20.0,2.0,0.0,15.0,1.0
1070,5050,21.0,3.0,2.0,27.0,3.0
1071,5051,10.0,2.0,2.0,30.0,1.0
1072,5052,50.0,14.0,13.0,124.0,5.0
1073,5053,42.0,3.0,8.0,73.0,0.0
1074,5054,59.0,4.0,14.0,110.0,4.0
1075,5056,40.0,5.0,10.0,133.0,3.0
1076,5057,4.0,1.0,1.0,10.0,1.0
1077,5058,8.0,0.0,0.0,21.0,1.0
1078,5059,10.0,2.0,2.0,22.0,0.0
1079,5060,1.0,0.0,0.0,1.0,0.0
1080,5061,1.0,1.0,0.0,7.0,0.0
1081,5062,10.0,1.0,2.0,15.0,1.0
1082,5063,26.0,2.0,2.0,18.0,2.0
1083,5301,37.0,14.0,59.0,409.0,11.0
1084,5302,17.0,5.0,6.0,85.0,1.0
1085,5303,26.0,5.0,21.0,262.0,29.0
1086,5304,67.0,18.0,33.0,239.0,12.0
1087,5305,16.0,6.0,6.0,47.0,0.0
1088,5306,132.0,29.0,22.0,472.0,11.0
1089,5307,55.0,16.0,16.0,130.0,6.0
1090,5308,122.0,16.0,61.0,471.0,39.0
1091,5309,151.0,11.0,21.0,203.0,4.0
1092,5310,62.0,9.0,15.0,143.0,3.0
1093,5311,77.0,15.0,37.0,163.0,12.0
1094,5312,14.0,1.0,3.0,58.0,5.0
