MOTIVO_VIAGEM,MOTIVOS_PRIMARIOS,HORARIO_INICIO_VIAGEM,TEMPO_ENTRE_EMBARQUES,TEMPO_DESLOCAMENTO,AH_ORIGEM,AH_DESTINO,ID_VIAGEM,QTD_VIAGENS_IND
Residência,Residência,15.0,14.0,7.0,1153,2050,2,2
Lazer,Secundário,9.5,1.0,0.5,2051,2033,1,2
Residência,Residência,10.5,23.0,0.6666666666666666,2033,2051,2,2
Negócios,Secundário,8.0,4.166666666666667,0.5,2051,2001,1,2
Residência,Residência,12.166666666666666,19.83333333333333,0.3333333333333333,2001,2051,2,2
Escola,Escola,12.583333333333334,4.916666666666667,0.4166666666666667,2051,2001,1,2
Residência,Residência,17.5,19.08333333333333,1.0,2001,2051,2,2
Negócios,Secundário,15.0,2.0,0.6666666666666666,2051,2001,1,2
Residência,Residência,17.0,22.0,1.0,2001,2051,2,2
Escola,Escola,9.0,7.0,0.1166666666666666,2048,2036,1,4
Residência,Residência,16.0,1.8333333333333333,0.5,2036,2048,2,4
Escola,Escola,17.833333333333332,4.416666666666667,0.5,2048,2003,3,4
Residência,Residência,22.25,10.75,0.5833333333333334,2003,2048,4,4
Escola,Escola,18.5,4.0,0.5,2048,2002,1,2
Residência,Residência,22.5,20.0,0.6666666666666666,2002,2048,2,2
Trabalho,Trabalho,5.0,10.0,2.0,2048,2001,1,2
Residência,Residência,15.0,16.0,1.0,2001,2048,2,2
Trabalho,Trabalho,7.0,11.0,0.8333333333333334,2048,2003,1,2
Residência,Residência,18.0,13.0,1.5,2003,2048,2,2
Trabalho,Trabalho,7.0,10.0,0.3333333333333333,2035,2003,1,2
Residência,Residência,17.0,14.0,0.6666666666666666,2003,2035,2,2
Negócios,Secundário,14.0,3.0,0.4166666666666667,2064,2001,1,2
Residência,Residência,17.0,21.0,0.3833333333333333,2001,2064,2,2
Trabalho,Trabalho,6.533333333333333,8.633333333333333,1.1166666666666667,2042,1009,1,2
Residência,Residência,15.166666666666666,15.366666666666667,2.4166666666666665,1009,2042,2,2
Trabalho,Trabalho,5.083333333333333,9.316666666666666,1.0833333333333333,2042,5006,1,2
Residência,Residência,14.4,14.683333333333334,1.9833333333333327,5006,2042,2,2
Trabalho,Trabalho,5.0,8.0,1.5,2042,1009,1,2
Residência,Residência,13.0,17.333333333333332,1.5,1009,2042,2,2
Trabalho,Trabalho,6.333333333333333,10.75,0.4833333333333333,2067,2029,1,2
Residência,Residência,17.083333333333332,13.25,1.2333333333333334,2029,2067,2,2
Trabalho,Trabalho,5.5,12.533333333333331,1.0,2067,1058,1,2
Residência,Residência,18.033333333333335,11.466666666666669,4.0,1058,2067,2,2
Outros,Secundário,11.916666666666666,2.083333333333333,1.3,2038,2001,1,2
Residência,Residência,14.0,21.916666666666668,0.5833333333333334,2001,2038,2,2
Trabalho,Trabalho,6.0,12.5,1.5,2038,2028,1,2
Residência,Residência,18.5,11.5,1.5,2028,2038,2,2
Trabalho,Trabalho,5.5,11.0,2.5,2038,1056,1,2
Residência,Residência,16.5,13.0,2.9166666666666665,1056,2038,2,2
Escola,Escola,6.5,5.0,0.5,2061,2005,1,2
Residência,Residência,11.5,1.0,0.5,2005,2061,2,2
Outros,Secundário,12.5,1.4166666666666667,0.8333333333333334,2035,2003,1,2
Residência,Residência,13.916666666666666,22.58333333333333,0.5833333333333334,2003,2035,2,2
Trabalho,Trabalho,7.166666666666667,11.333333333333334,1.3333333333333333,2035,2006,1,2
Residência,Residência,18.5,12.666666666666666,2.5,2006,2035,2,2
Trabalho,Trabalho,6.5,12.0,1.1666666666666667,1805,1002,1,2
Residência,Residência,18.5,12.0,1.4166666666666667,1002,1805,2,2
Trabalho,Trabalho,14.416666666666666,7.583333333333333,1.5833333333333333,2060,1028,1,2
Residência,Residência,22.0,16.416666666666668,1.5,1028,2060,2,2
Trabalho,Trabalho,7.0,11.0,1.5,2042,5006,1,2
Residência,Residência,18.0,13.0,1.75,5006,2042,2,2
Lazer,Secundário,9.0,12.0,1.6666666666666667,1836,1106,1,2
Residência,Residência,21.0,12.0,1.1666666666666667,1106,1836,2,2
Trabalho,Trabalho,5.5,9.5,1.2,2067,1009,1,2
Residência,Residência,15.0,14.5,1.6166666666666667,1009,2067,2,2
Trabalho,Trabalho,6.5,11.5,1.1666666666666667,2067,2040,1,2
Outros,Secundário,18.0,12.0,1.5,2040,2067,2,2
Trabalho,Trabalho,6.0,11.0,0.75,2019,5020,1,2
Residência,Residência,17.0,13.0,1.0,5020,2019,2,2
Outros,Secundário,7.0,1.5,0.8333333333333334,2019,5020,1,2
Residência,Residência,8.5,22.5,0.9166666666666666,5020,2019,2,2
Trabalho,Trabalho,5.5,11.5,1.25,2019,1012,1,2
Residência,Residência,17.0,12.5,2.25,1012,2019,2,2
Trabalho,Trabalho,6.75,10.25,1.0833333333333333,2019,1153,1,2
Residência,Residência,17.0,13.75,1.6666666666666667,1153,2019,2,2
Trabalho,Trabalho,7.0,7.0,0.8333333333333334,2025,5309,1,2
Residência,Residência,14.0,17.0,1.0,5309,2025,2,2
Escola,Escola,5.833333333333333,5.5,1.6666666666666667,2025,1144,1,2
Residência,Residência,11.333333333333334,18.5,2.0,1144,2025,2,2
Escola,Escola,6.916666666666667,5.333333333333333,1.0,2019,2002,1,2
Residência,Residência,12.25,18.666666666666668,1.25,2002,2019,2,2
Trabalho,Trabalho,5.0,12.5,0.5,2023,5020,1,2
Residência,Residência,17.5,11.5,0.8333333333333334,5020,2023,2,2
Saúde,Secundário,6.0,2.0,0.75,2023,2071,1,2
Residência,Residência,8.0,22.0,1.0,2071,2023,2,2
Escola,Escola,17.333333333333332,5.333333333333333,0.5,2023,2003,1,2
Residência,Residência,22.666666666666668,18.666666666666668,0.4166666666666667,2003,2023,2,2
Trabalho,Trabalho,5.5,9.5,0.6666666666666666,2023,5020,1,2
Residência,Residência,15.0,14.5,1.0,5020,2023,2,2
Trabalho,Trabalho,6.166666666666667,10.833333333333334,0.6666666666666666,2023,2016,1,2
Residência,Residência,17.0,13.166666666666666,0.5,2016,2023,2,2
Escola,Escola,6.25,5.25,0.75,2023,2009,1,2
Residência,Residência,11.5,18.75,0.8333333333333334,2009,2023,2,2
Lazer,Secundário,8.0,1.8333333333333333,0.3333333333333333,2023,2027,1,2
Residência,Residência,9.833333333333334,22.166666666666668,2.333333333333333,2027,2023,2,2
Residência,Residência,7.0,1.3333333333333333,1.0833333333333333,2005,2013,1,2
Saúde,Secundário,8.333333333333334,4.166666666666667,1.4166666666666667,2013,2001,2,2
Outros,Secundário,12.5,3.5,1.0833333333333333,2013,2001,1,2
Residência,Residência,16.0,20.5,1.1666666666666667,2001,2013,2,2
Escola,Escola,6.5,5.166666666666667,0.5,2013,2003,1,2
Residência,Residência,11.666666666666666,18.83333333333333,0.5833333333333334,2003,2013,2,2
